,movie,year,imdb,metascore,votes,descriptions,n_imdb
2564,The Grand Budapest Hotel,(2014),8.1,88,642904,"
    The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",81.0
2565,Whiplash,(2014),8.5,88,630450,"
    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",85.0
2566,The Imitation Game,(2014),8.0,73,629271,"
    During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",80.0
2567,X-Men: Days of Future Past,(2014),8.0,75,628254,"
    The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.",80.0
2568,Edge of Tomorrow,(2014),7.9,71,554122,"
    A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",79.0
2569,Kingsman: The Secret Service,(2014),7.7,60,551889,"
    A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",77.0
2570,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,527615,"
    A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",77.0
2571,John Wick,(2014),7.4,68,473295,"
    An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.",74.0
2572,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,443488,"
    Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.",74.0
2573,Ex Machina,(2014),7.7,78,431861,"
    A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.",77.0
2574,Nightcrawler,(2014),7.9,76,412902,"
    When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",79.0
2575,Lucy,(I) (2014),6.4,61,407909,"
    A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",64.0
2576,American Sniper,(2014),7.3,72,406792,"
    Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",73.0
2577,Divergent,(2014),6.7,48,403323,"
    In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",67.0
2578,The Amazing Spider-Man 2,(2014),6.6,53,393691,"
    When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",66.0
2579,Dawn of the Planet of the Apes,(2014),7.6,79,393544,"
    A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.",76.0
2580,The Maze Runner,(2014),6.8,57,391430,"
    Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",68.0
2581,Fury,(2014),7.6,64,387888,"
    A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",76.0
2582,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,384123,"
    Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",66.0
2583,Big Hero 6,(2014),7.8,74,377885,"
    The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",78.0
2584,The Theory of Everything,(2014),7.7,72,366787,"
    A look at the relationship between the famous physicist Stephen Hawking and his wife.",77.0
2585,Godzilla,(2014),6.4,62,356975,"
    The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",64.0
2586,22 Jump Street,(2014),7.0,71,323644,"
    After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",70.0
2587,The Fault in Our Stars,(2014),7.7,69,319955,"
    Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.",77.0
2588,Boyhood,(I) (2014),7.9,100,318352,"
    The life of Mason, from early childhood to his arrival at college.",79.0
2589,Maleficent,(2014),7.0,56,310201,"
    A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",70.0
2590,The Lego Movie,(2014),7.8,83,307599,"
    An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",78.0
2591,The Equalizer,(2014),7.2,57,307046,"
    A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.",72.0
2592,The Interview,(II) (2014),6.5,52,289016,"
    Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to assassinate him.",65.0
2593,Transformers: Age of Extinction,(2014),5.6,32,285941,"
    When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",56.0
2594,How to Train Your Dragon 2,(2014),7.8,76,282948,"
    When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",78.0
2595,Neighbors,(I) (2014),6.3,68,268922,"
    After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.",63.0
2596,300: Rise of an Empire,(2014),6.2,48,265914,"
    Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",62.0
2597,Non-Stop,(2014),7.0,56,236887,"
    An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes.",70.0
2598,Noah,(2014),5.8,68,231210,"
    Noah (Russell Crowe) is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.",58.0
2599,Predestination,(I) (2014),7.5,69,228945,"
    For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.",75.0
2600,RoboCop,(2014),6.2,52,207368,"
    In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.",62.0
2601,Transcendence,(I) (2014),6.3,42,206320,"
    A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program.",63.0
2602,Teenage Mutant Ninja Turtles,(2014),5.8,31,193472,"
    When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",58.0
2603,It Follows,(2014),6.8,83,186965,"
    A young woman is followed by an unknown supernatural force after a sexual encounter.",68.0
2604,Chef,(2014),7.3,68,177670,"
    A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.",73.0
2605,Interstellar,(2014),8.6,74,1326176,"
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",86.0
2606,Guardians of the Galaxy,(2014),8.1,76,968521,"
    A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.",81.0
2607,Gone Girl,(2014),8.1,79,774613,"
    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",81.0
2608,Captain America: The Winter Soldier,(2014),7.8,70,679492,"
    As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",78.0
